,Dimension 1,Dimension 2,Song
0,-51.323265,-1.5565698,mfcc_min_output_56
1,-51.323265,-1.5565698,mfcc_mean_output_56
2,3.8667903,-83.70867,mfcc_mean_output_42
3,-3.4087462,-74.48468,mfcc_min_output_42
4,-17.316906,34.531322,mfcc_mean_output7
5,33.54664,-85.71404,mfcc_min_output_95
6,74.83807,-83.751816,mfcc_mean_output_81
7,82.90803,-74.6553,mfcc_min_output_81
8,-12.220025,158.5517,mfcc_mean_output_80
9,-12.220025,158.5517,mfcc_min_output_80
10,-64.23527,109.421524,mfcc_min_output_94
11,-6.7775064,-129.4216,mfcc_mean_output6
12,144.3674,20.474165,mfcc_mean_output_43
13,144.3674,20.474165,mfcc_min_output_43
14,172.62585,-4.3142934,mfcc_min_output_57
15,178.57497,7.1926265,mfcc_mean_output_57
16,-71.54974,-106.43613,mfcc_min_output_41
17,-71.54974,-106.43613,mfcc_mean_output_41
18,-39.6326,-101.11803,mfcc_mean_output_55
19,-39.6326,-101.11803,mfcc_min_output_55
20,0.026692275,-111.789375,mfcc_mean_output_69
21,-93.88406,43.652176,mfcc_mean_output4
22,9.141281,-122.51922,mfcc_min_output_69
23,57.37626,109.06118,mfcc_min_output_82
24,57.37626,109.06118,mfcc_mean_output_82
25,50.7131,133.22343,mfcc_min_output_96
26,5.4754086,127.02213,mfcc_min_output_97
27,-17.003778,140.51027,mfcc_min_output_83
28,-12.574077,128.5783,mfcc_mean_output_83
29,-76.22407,-61.5383,mfcc_mean_output_68
30,-76.22407,-61.5383,mfcc_min_output_68
31,30.376556,176.0083,mfcc_mean_output5
32,-75.17114,-82.11099,mfcc_mean_output_54
33,-85.90039,-89.81922,mfcc_min_output_54
34,10.811175,88.94877,mfcc_min_output_40
35,4.968462,77.33202,mfcc_mean_output_40
36,-37.46873,77.14046,mfcc_mean_output_78
37,-37.46873,77.14046,mfcc_min_output_78
38,35.8318,-33.3631,mfcc_mean_output1
39,145.52321,-41.482903,mfcc_mean_output_44
40,145.52321,-41.482903,mfcc_min_output_44
41,-104.7199,138.8868,mfcc_min_output_50
42,-104.7199,138.8868,mfcc_mean_output_50
43,56.335335,-104.61416,mfcc_min_output_87
44,-30.555935,152.39778,mfcc_min_output_93
45,-74.33546,47.200165,mfcc_min_output_92
46,-104.259056,67.47557,mfcc_min_output_86
47,-28.719868,170.94408,mfcc_min_output_51
48,-17.563944,180.01797,mfcc_mean_output_51
49,62.808857,-56.023663,mfcc_mean_output_45
50,62.808857,-56.023663,mfcc_min_output_45
51,-98.495056,-73.81026,mfcc_mean_output_79
52,-98.495056,-73.81026,mfcc_min_output_79
53,86.33493,-107.95866,mfcc_mean_output2
54,36.839394,31.091318,mfcc_mean_output_53
55,47.20616,34.58812,mfcc_min_output_53
56,-96.36836,88.61245,mfcc_min_output_47
57,-107.73773,87.726715,mfcc_mean_output_47
58,70.684166,-118.719795,mfcc_min_output_90
59,-0.92115813,184.13878,mfcc_min_output_84
60,0.17949162,169.80817,mfcc_mean_output_84
61,-56.31974,-85.01368,mfcc_min_output_85
62,-56.31974,-85.01368,mfcc_mean_output_85
63,-44.073288,-46.152023,mfcc_min_output_91
64,-38.671215,131.30174,mfcc_min_output_46
65,-38.671215,131.30174,mfcc_mean_output_46
66,-60.544502,71.24501,mfcc_mean_output_52
67,-60.544502,71.24501,mfcc_min_output_52
68,147.07886,-24.198334,mfcc_mean_output3
69,-76.885605,77.515465,mfcc_min_output_115
70,-16.38252,49.242706,mfcc_min_output_101
71,22.305454,-104.85307,mfcc_mean_output_35
72,27.0904,-115.65487,mfcc_min_output_35
73,-0.3140295,-27.063095,mfcc_min_output_21
74,1.7281992,-15.124368,mfcc_mean_output_21
75,-93.88406,43.652176,mfcc_min_output4
76,16.468344,174.51479,mfcc_min_output5
77,136.79987,-8.392055,mfcc_min_output_20
78,132.01872,3.1954646,mfcc_mean_output_20
79,86.130875,-3.6875432,mfcc_mean_output_34
80,86.130875,-3.6875432,mfcc_min_output_34
81,16.181778,139.71843,mfcc_min_output_100
82,52.843887,-77.39522,mfcc_min_output_114
83,0.3921172,144.68546,mfcc_min_output_102
84,-70.63525,-44.35583,mfcc_mean_output_22
85,-61.132736,-52.547817,mfcc_min_output_22
86,-53.678867,-33.01262,mfcc_min_output_36
87,-63.731285,-27.662125,mfcc_mean_output_36
88,-17.316906,34.531322,mfcc_min_output7
89,-6.7775064,-129.4216,mfcc_min_output6
90,-102.62351,-114.30584,mfcc_min_output_37
91,-108.43199,-104.440704,mfcc_mean_output_37
92,35.8983,132.96317,mfcc_mean_output_23
93,30.021273,144.45262,mfcc_min_output_23
94,164.88493,-20.927626,mfcc_min_output_103
95,121.27561,27.293226,mfcc_min_output_107
96,-17.312996,-84.89723,mfcc_min_output_113
97,42.550713,-8.888025,mfcc_min_output_27
98,42.550713,-8.888025,mfcc_mean_output_27
99,-121.78822,-9.014852,mfcc_mean_output_33
100,-115.25214,2.7325578,mfcc_min_output_33
101,99.93277,-105.98033,mfcc_min_output2
102,134.09827,-27.572636,mfcc_min_output3
103,1.7443192,18.834166,mfcc_mean_output_32
104,1.7443192,18.834166,mfcc_min_output_32
105,90.8375,150.29643,mfcc_min_output_26
106,81.94741,141.54445,mfcc_mean_output_26
107,-78.58273,-122.934395,mfcc_min_output_112
108,-22.454123,-136.247,mfcc_min_output_106
109,25.545435,96.27618,mfcc_min_output_110
110,-20.624807,-113.98229,mfcc_min_output_104
111,22.000204,126.26137,mfcc_mean_output_18
112,14.841496,114.15912,mfcc_min_output_18
113,-36.33037,16.03296,mfcc_min_output_30
114,-36.33037,16.03296,mfcc_mean_output_30
115,75.87334,-32.125496,mfcc_mean_output_24
116,75.87334,-32.125496,mfcc_min_output_24
117,46.21957,-31.291725,mfcc_min_output1
118,-39.104156,38.094376,mfcc_mean_output_25
119,-39.104156,38.094376,mfcc_min_output_25
120,65.01481,-141.04613,mfcc_min_output_31
121,65.01481,-141.04613,mfcc_mean_output_31
122,-54.836388,25.310081,mfcc_mean_output_19
123,-54.836388,25.310081,mfcc_min_output_19
124,23.028717,193.46858,mfcc_min_output_105
125,50.30455,170.01134,mfcc_min_output_111
126,39.73482,-102.45028,mfcc_min_output_108
127,162.0491,18.956333,mfcc_mean_output_14
128,162.0491,18.956333,mfcc_min_output_14
129,-18.7729,83.10403,mfcc_mean_output_28
130,-18.7729,83.10403,mfcc_min_output_28
131,56.585304,151.29732,mfcc_mean_output_29
132,43.525146,155.24776,mfcc_min_output_29
133,-116.31606,-46.49296,mfcc_mean_output_15
134,-122.74762,-36.055775,mfcc_min_output_15
135,-103.28464,-25.120928,mfcc_min_output_109
136,89.70222,-90.32677,mfcc_min_output_17
137,100.144844,-83.27136,mfcc_mean_output_17
138,89.086296,-122.08242,mfcc_min_output_16
139,101.96931,-119.91011,mfcc_mean_output_16
140,113.89903,-34.194965,mfcc_mean_output_12
141,113.89903,-34.194965,mfcc_min_output_12
142,-133.87283,13.605297,mfcc_mean_output_13
143,-139.85313,2.4135528,mfcc_min_output_13
144,-48.338615,-64.44711,mfcc_mean_output_39
145,-38.623898,-72.43962,mfcc_min_output_39
146,-27.320051,-35.670864,mfcc_min_output_11
147,-27.320051,-35.670864,mfcc_mean_output_11
148,152.86449,0.36344707,mfcc_min_output8
149,-67.79434,158.0505,mfcc_min_output9
150,-25.169727,-183.39485,mfcc_min_output_10
151,-25.169727,-183.39485,mfcc_mean_output_10
152,76.17848,163.27213,mfcc_mean_output_38
153,74.84851,175.68497,mfcc_min_output_38
154,-24.030752,-3.954977,mfcc_min_output_77
155,-20.01255,-15.575873,mfcc_mean_output_77
156,25.396698,159.56992,mfcc_mean_output_63
157,12.299979,156.03928,mfcc_min_output_63
158,44.84065,-55.542698,mfcc_min_output_88
159,-98.40484,23.905014,mfcc_min_output_89
160,-90.55532,-2.5251107,mfcc_mean_output_62
161,-90.55532,-2.5251107,mfcc_min_output_62
162,-89.2421,-47.257965,mfcc_min_output_76
163,-89.2421,-47.257965,mfcc_mean_output_76
164,16.996593,67.5945,mfcc_min_output_60
165,25.32562,77.69965,mfcc_mean_output_60
166,116.074066,-12.6946745,mfcc_mean_output_74
167,112.13465,-2.0489168,mfcc_min_output_74
168,-50.598885,-121.59957,mfcc_mean_output_48
169,-50.598885,-121.59957,mfcc_min_output_48
