,Unnamed: 0,Dimension 1,Dimension 2,KMeans Cluster,Song
0,0,-1.8772516,2.999558,0,mfcc_mean_output_56
1,1,-0.7705889,-4.2291083,0,mfcc_mean_output_42
2,2,0.16026296,1.7011311,0,mfcc_mean_output7
3,3,-1.261333,-6.716295,0,mfcc_mean_output_95
4,4,-5.9402275,-5.060878,0,mfcc_mean_output_81
5,5,0.25726056,6.8313026,0,mfcc_mean_output_80
6,6,2.0727193,0.9423689,0,mfcc_mean_output_94
7,7,-3.606914,-5.096712,0,mfcc_mean_output6
8,8,-2.9392972,-0.3659431,0,mfcc_mean_output_43
9,9,-3.025515,-3.676091,0,mfcc_mean_output_57
10,10,-3.7917588,-1.3581485,0,mfcc_mean_output_41
11,11,-1.7210727,-5.4966717,0,mfcc_mean_output_55
12,12,-4.3669186,-7.7734346,0,mfcc_mean_output_69
13,13,3.214093,-2.276395,0,mfcc_mean_output4
14,14,1.4128364,6.5231214,0,mfcc_mean_output_82
15,15,3.7409563,6.4315424,0,mfcc_mean_output_96
16,16,3.12249,6.00552,0,mfcc_mean_output_97
17,17,4.338733,7.8550725,0,mfcc_mean_output_83
18,18,-2.3935833,-2.104689,0,mfcc_mean_output_68
19,19,2.571332,7.2914934,0,mfcc_mean_output5
20,20,-3.4354408,-2.0504022,0,mfcc_mean_output_54
21,21,-0.44788748,2.8777697,3,mfcc_mean_output_40
22,22,-4.843923,-1.8894634,3,mfcc_mean_output_78
23,23,0.94670135,-8.9379425,3,mfcc_mean_output1
24,24,1.159764,-5.1605167,3,mfcc_mean_output_44
25,25,4.561197,6.453032,3,mfcc_mean_output_50
26,26,1.0110664,-6.0339303,3,mfcc_mean_output_87
27,27,0.5418249,3.2761326,3,mfcc_mean_output_93
28,28,-2.5491107,3.040475,3,mfcc_mean_output_92
29,29,-5.5024743,-7.0276027,3,mfcc_mean_output_86
30,30,-1.1825347,5.4350553,3,mfcc_mean_output_51
31,31,-2.489509,-6.5403214,3,mfcc_mean_output_45
32,32,-6.4830284,1.068659,3,mfcc_mean_output_79
33,33,0.71469706,-7.733096,3,mfcc_mean_output2
34,34,-4.8266344,-7.4547224,3,mfcc_mean_output_53
35,35,-2.0779421,7.239323,3,mfcc_mean_output_47
36,36,-0.34005022,-7.9180512,3,mfcc_mean_output_90
37,37,0.20294668,6.397459,3,mfcc_mean_output_84
38,38,-4.9398355,-0.0013797082,3,mfcc_mean_output_85
39,39,-2.6815076,-0.5945089,3,mfcc_mean_output_91
40,40,0.25894278,4.351129,3,mfcc_mean_output_46
41,41,1.0721219,-0.22734934,1,mfcc_mean_output_52
42,42,-3.7190375,2.8380291,1,mfcc_mean_output3
43,43,-0.69774294,-7.0890226,1,mfcc_mean_output_35
44,44,-2.5214663,4.060984,1,mfcc_mean_output_110
45,45,-2.2929916,-6.092156,1,mfcc_mean_output_104
46,46,-6.817283,0.06958005,1,mfcc_mean_output_21
47,47,3.9209304,2.5124617,1,mfcc_mean_output_105
48,48,1.9760836,-6.175176,1,mfcc_mean_output_20
49,49,3.1810198,-6.158932,1,mfcc_mean_output_34
50,50,4.0868683,6.28681,1,mfcc_mean_output_111
