,Dimension 1,Dimension 2,Song
0,0.11864619,0.533402,mfcc_mean_output_56
1,2.4834635,-0.63639474,mfcc_mean_output_42
2,0.9886476,-3.6981952,mfcc_mean_output7
3,2.2486167,2.684302,mfcc_mean_output_95
4,1.3636163,3.3732514,mfcc_mean_output_81
5,-1.2580358,-3.4842675,mfcc_mean_output_80
6,2.3087704,-2.6733284,mfcc_mean_output_94
7,1.6624993,2.3173761,mfcc_mean_output6
8,0.722149,0.038480558,mfcc_mean_output_43
9,1.680933,1.6967123,mfcc_mean_output_57
10,0.8866833,2.0341005,mfcc_mean_output_41
11,2.42187,0.414767,mfcc_mean_output_55
12,2.177402,4.2011447,mfcc_mean_output_69
13,2.3760548,-1.7589805,mfcc_mean_output4
14,-0.4598658,-4.6365294,mfcc_mean_output_82
15,-0.0817909,-5.8921328,mfcc_mean_output_96
16,-0.5510593,-5.7563233,mfcc_mean_output_97
17,0.5502315,-5.563491,mfcc_mean_output_83
18,1.4106725,-0.13580967,mfcc_mean_output_68
19,-0.12778027,-5.0490994,mfcc_mean_output5
20,1.0836043,0.6932105,mfcc_mean_output_54
21,0.2815284,-2.588433,mfcc_mean_output_40
22,0.7282712,2.3611286,mfcc_mean_output_78
23,3.8427043,-0.76156086,mfcc_mean_output1
24,2.5294223,2.57807,mfcc_mean_output_44
25,0.058962993,-6.229989,mfcc_mean_output_50
26,3.0543017,0.9267366,mfcc_mean_output_87
27,0.70632684,-4.325359,mfcc_mean_output_93
28,-0.40223086,-0.37865546,mfcc_mean_output_92
29,1.550646,4.3872976,mfcc_mean_output_86
30,-0.8161679,-3.2001958,mfcc_mean_output_51
31,1.9582304,3.1907074,mfcc_mean_output_45
32,0.5712651,-1.3100455,mfcc_mean_output_79
33,3.8586776,-0.37208337,mfcc_mean_output2
34,1.9176209,4.3412986,mfcc_mean_output_53
35,0.17521128,3.442834,mfcc_mean_output_47
36,3.798161,0.24487628,mfcc_mean_output_90
37,-0.7570342,-4.4072857,mfcc_mean_output_84
38,0.25369754,1.094929,mfcc_mean_output_85
39,0.8200706,0.9886194,mfcc_mean_output_91
40,0.18930827,-4.285199,mfcc_mean_output_46
41,1.4107089,-2.7431457,mfcc_mean_output_52
42,0.87402046,3.5542624,mfcc_mean_output3
43,3.3214438,0.6275542,mfcc_mean_output_35
44,-0.67044526,-1.9437095,mfcc_mean_output_110
45,1.9021906,2.4546788,mfcc_mean_output_104
46,-0.45829618,1.0813897,mfcc_mean_output_21
47,1.5589006,-5.5338154,mfcc_mean_output_105
48,2.981798,2.727905,mfcc_mean_output_20
49,3.605389,-1.8939614,mfcc_mean_output_34
50,0.20447074,-6.2548385,mfcc_mean_output_111
51,1.3223068,0.25812468,mfcc_mean_output_22
52,4.010601,-0.62348044,mfcc_mean_output_107
53,0.8326818,2.8367813,mfcc_mean_output_113
54,-0.7442692,1.7120332,mfcc_mean_output_36
55,0.57076395,6.463082,mfcc_mean_output_8
56,0.5706505,6.4632387,mfcc_mean_output_9
57,0.03892217,2.537057,mfcc_mean_output_112
58,-0.05043285,2.3947453,mfcc_mean_output_37
59,-0.526786,-4.1831403,mfcc_mean_output_23
60,2.8579042,-0.3397519,mfcc_mean_output_106
61,1.2052908,-4.6185975,mfcc_mean_output_102
62,3.7669191,-3.1775672,mfcc_mean_output_27
63,1.672118,-1.7887155,mfcc_mean_output_33
64,2.2260175,0.9597351,mfcc_mean_output_32
65,2.8241384,2.309835,mfcc_mean_output_103
66,0.210257,-6.495237,mfcc_mean_output_26
67,-0.53062123,-5.111612,mfcc_mean_output_18
68,2.9909441,-2.4029138,mfcc_mean_output_115
69,1.4873881,-1.3155884,mfcc_mean_output_30
70,3.0478086,-0.9089304,mfcc_mean_output_24
71,0.47986367,-3.234831,mfcc_mean_output_101
72,1.5042282,-2.642561,mfcc_mean_output_25
73,-0.22778589,-5.8472013,mfcc_mean_output_100
74,2.837522,3.0670452,mfcc_mean_output_114
75,4.0238724,-1.2692385,mfcc_mean_output_31
76,2.195476,-3.087017,mfcc_mean_output_19
77,0.20618507,2.1230116,mfcc_mean_output_14
78,0.041437715,-5.7220435,mfcc_mean_output_28
79,0.5708604,6.463129,mfcc_mean_output_2
80,0.5707156,6.463112,mfcc_mean_output_3
81,0.573458,-6.041658,mfcc_mean_output_29
82,1.2848657,2.0481691,mfcc_mean_output_15
83,3.756373,-0.37152237,mfcc_mean_output_17
