,Dimension 1,Dimension 2,Song
0,1.6423013,1.583806,mfcc_mean_output_56
1,0.9902875,-0.11393378,mfcc_mean_output_42
2,-1.2172673,0.43696097,mfcc_mean_output7
3,3.316329,0.28237155,mfcc_mean_output_95
4,3.7710876,1.0814868,mfcc_mean_output_81
5,-1.1828341,2.1995394,mfcc_mean_output_80
6,-0.42728567,-0.21830538,mfcc_mean_output_94
7,2.9554853,0.6840354,mfcc_mean_output6
8,1.3229064,1.0318824,mfcc_mean_output_43
9,2.6341581,0.59865755,mfcc_mean_output_57
10,2.7212343,1.1594751,mfcc_mean_output_41
11,1.8416518,-0.03333878,mfcc_mean_output_55
12,4.4104714,0.5420096,mfcc_mean_output_69
13,0.3460475,-0.4552003,mfcc_mean_output4
14,-1.9812543,1.4120591,mfcc_mean_output_82
15,-2.8204389,0.93628144,mfcc_mean_output_96
16,-2.7790887,1.2604334,mfcc_mean_output_97
17,-2.549832,0.5278081,mfcc_mean_output_83
18,1.2734358,0.5889033,mfcc_mean_output_68
19,-2.266884,1.1245097,mfcc_mean_output5
20,1.797873,0.9039611,mfcc_mean_output_54
21,-0.3641484,1.1067811,mfcc_mean_output_40
22,2.966042,1.426081,mfcc_mean_output_78
23,1.0413749,-1.2409828,mfcc_mean_output1
24,3.29314,0.20151508,mfcc_mean_output_44
25,-2.9662697,0.7729957,mfcc_mean_output_50
26,2.1875844,-0.42145708,mfcc_mean_output_87
27,-1.6600351,0.5640203,mfcc_mean_output_93
28,0.94308037,1.8053855,mfcc_mean_output_92
29,4.529927,1.1581638,mfcc_mean_output_86
30,-0.9920607,1.8984694,mfcc_mean_output_51
31,3.6719496,0.62281966,mfcc_mean_output_45
32,0.42559844,1.0669281,mfcc_mean_output_79
33,1.3310654,-1.1016661,mfcc_mean_output2
34,4.5119,0.8244624,mfcc_mean_output_53
35,3.6041198,1.9800266,mfcc_mean_output_47
36,1.8974832,-0.9960471,mfcc_mean_output_90
37,-1.8837564,1.6657478,mfcc_mean_output_84
38,1.9379544,1.4356934,mfcc_mean_output_85
39,1.9767162,1.0634135,mfcc_mean_output_91
40,-1.6541882,0.9885098,mfcc_mean_output_46
41,-0.49859706,0.28986004,mfcc_mean_output_52
42,3.7650352,1.417959,mfcc_mean_output3
43,2.1421437,-0.60444653,mfcc_mean_output_35
44,0.07424708,1.8955246,mfcc_mean_output_110
45,3.083319,0.5013227,mfcc_mean_output_104
46,1.8845143,1.9099207,mfcc_mean_output_21
47,-2.377219,-0.26403672,mfcc_mean_output_105
48,3.573521,-0.10736634,mfcc_mean_output_20
49,0.24977855,-1.1374782,mfcc_mean_output_34
50,-3.0289867,0.691648,mfcc_mean_output_111
51,1.5393733,0.6931049,mfcc_mean_output_22
52,1.4022609,-1.1657001,mfcc_mean_output_107
53,3.2808099,1.2810452,mfcc_mean_output_113
54,2.143732,2.2242928,mfcc_mean_output_36
55,2.9766889,1.7988399,mfcc_mean_output_112
56,2.873323,1.7529342,mfcc_mean_output_37
57,-1.6187289,1.4634153,mfcc_mean_output_23
58,1.2979132,-0.40138534,mfcc_mean_output_106
59,-1.8477843,0.131789,mfcc_mean_output_102
60,-0.8477056,-1.3752898,mfcc_mean_output_27
61,0.2597455,0.20860116,mfcc_mean_output_33
62,2.1616135,0.12759848,mfcc_mean_output_32
63,3.109112,-0.08633185,mfcc_mean_output_103
64,-3.1779523,0.6581256,mfcc_mean_output_26
65,-2.3144174,1.3721646,mfcc_mean_output_18
66,-0.3324135,-0.6232668,mfcc_mean_output_115
67,0.4084607,0.39412895,mfcc_mean_output_30
68,0.88162917,-0.57647014,mfcc_mean_output_24
69,-0.85882205,0.9354227,mfcc_mean_output_101
70,-0.3963016,0.24774656,mfcc_mean_output_25
71,-2.7815723,0.9722548,mfcc_mean_output_100
72,3.640486,-0.124199115,mfcc_mean_output_114
73,0.8993157,-1.3561045,mfcc_mean_output_31
74,-0.6897571,-0.39167795,mfcc_mean_output_19
75,2.7059414,1.5965366,mfcc_mean_output_14
76,-2.650617,0.89666814,mfcc_mean_output_28
77,-2.8480954,0.46446857,mfcc_mean_output_29
78,2.7177265,0.89742196,mfcc_mean_output_15
79,1.4048487,-1.067582,mfcc_mean_output_17
