,Dimension 1,Dimension 2,Song
0,-1.3822749,-9.074017,mfcc_output_49
1,3.949358,-8.053405,mfcc_output_61
2,3.1027355,-7.839383,mfcc_output_75
3,1.278551,-5.07025,mfcc_output_74
4,-4.214887,-6.8222475,mfcc_output_60
5,0.6678593,-9.667212,mfcc_output_48
6,-0.40861195,-8.657943,mfcc_output_76
7,-0.37726405,-8.1949835,mfcc_output_62
8,-1.966141,-8.675928,mfcc_output_89
9,0.6158266,-7.3767266,mfcc_output_88
10,-3.1839585,-4.9927006,mfcc_output_63
11,-1.8731148,-9.944406,mfcc_output_77
12,-1.7010504,-8.049476,mfcc_output_73
13,-3.32674,-6.5790353,mfcc_output_67
14,1.794964,-8.091467,mfcc_output_98
15,-0.7365498,-10.476519,mfcc_output_99
16,-4.2544765,-5.32187,mfcc_output_66
17,1.7898812,-9.84664,mfcc_output_72
18,-0.9157426,-7.8118205,mfcc_output_64
19,-2.3786724,-7.80842,mfcc_output_70
20,-0.8159737,-8.539238,mfcc_output_58
21,-5.958125,-6.482172,mfcc_output_59
22,-2.3296516,-6.5622387,mfcc_output_71
23,-0.99902517,-8.717481,mfcc_output_65
24,3.2737134,-8.872848,mfcc_output_16
25,3.1280644,-9.162103,mfcc_output_17
26,3.318899,-7.0654497,mfcc_output_1
27,-0.20303415,-7.6258154,mfcc_output_109
28,1.5886785,-4.580872,mfcc_output_3
29,-3.4584725,-4.3567863,mfcc_output_29
30,-0.5513095,-8.428559,mfcc_output_15
31,2.3573604,-4.9020977,mfcc_output_14
32,-3.3788493,-7.1104684,mfcc_output_28
33,3.1896772,-8.892199,mfcc_output_2
34,3.3875272,-7.6369367,mfcc_output_108
35,1.594135,-8.104605,mfcc_output_6
36,-4.8270144,-8.733559,mfcc_output_10
37,-2.7017715,-3.7781105,mfcc_output_38
38,-0.6289874,-10.192037,mfcc_output_39
39,-1.6385053,-9.5167055,mfcc_output_11
40,-1.6430037,-6.894371,mfcc_output_7
41,-2.9512339,-4.8453937,mfcc_output_5
42,-1.8453852,-9.652025,mfcc_output_13
43,1.0893574,-4.56088,mfcc_output_12
44,-2.085908,-8.397563,mfcc_output_4
45,2.2286282,-4.333145,mfcc_output_103
46,-5.388954,-5.8375096,mfcc_output_9
47,-3.8284469,-4.9924784,mfcc_output_23
48,0.70320135,-10.265777,mfcc_output_37
49,-1.1575526,-9.292618,mfcc_output_36
50,-0.5303745,-9.195397,mfcc_output_22
51,2.3162405,-4.773997,mfcc_output_8
52,-3.8815205,-5.497,mfcc_output_102
53,1.7853403,-6.9978075,mfcc_output_114
54,-3.7321703,-5.1151447,mfcc_output_100
55,0.67491,-5.751139,mfcc_output_34
56,1.9783331,-5.0391216,mfcc_output_20
57,-1.7311757,-10.681601,mfcc_output_21
58,2.6000042,-8.044837,mfcc_output_35
59,-1.719937,-6.832504,mfcc_output_101
60,-3.1894042,-8.686441,mfcc_output_115
61,-3.4537606,-4.219302,mfcc_output_111
62,-2.3157597,-4.613454,mfcc_output_105
63,3.8107686,-8.099455,mfcc_output_31
64,-1.9133867,-7.440327,mfcc_output_25
65,-1.3801285,-7.6246786,mfcc_output_19
66,-3.8275545,-5.0560637,mfcc_output_18
67,0.6979877,-6.4086204,mfcc_output_24
68,-1.661943,-7.9942136,mfcc_output_30
69,1.2942306,-8.592875,mfcc_output_104
70,-4.110246,-6.2421675,mfcc_output_110
71,1.312786,-8.1507845,mfcc_output_106
72,0.01486815,-10.542493,mfcc_output_112
73,-2.4987688,-3.861811,mfcc_output_26
74,-0.92327094,-6.935038,mfcc_output_32
75,-1.4297583,-9.705577,mfcc_output_33
76,3.954102,-7.14666,mfcc_output_27
77,1.2448575,-9.500503,mfcc_output_113
78,3.1712253,-5.311124,mfcc_output_107
79,-0.063640006,-8.740904,mfcc_output_68
80,-4.1189103,-6.776223,mfcc_output_40
81,0.074686185,-9.58631,mfcc_output_54
82,-3.0759802,-5.618292,mfcc_output_83
83,-3.3019686,-5.3664136,mfcc_output_97
84,-4.0480013,-4.705616,mfcc_output_96
85,-4.6313143,-5.1519566,mfcc_output_82
86,0.5717949,-9.0326805,mfcc_output_55
87,0.1718027,-10.127963,mfcc_output_41
88,1.7400801,-8.442003,mfcc_output_69
89,2.4413722,-4.606104,mfcc_output_57
90,2.3916857,-4.8798914,mfcc_output_43
91,-1.934684,-6.4339247,mfcc_output_94
92,-3.6921043,-5.6088724,mfcc_output_80
93,2.8062294,-9.223913,mfcc_output_81
94,2.95781,-7.4099164,mfcc_output_95
95,1.6074983,-9.51734,mfcc_output_42
96,-1.0972902,-8.679303,mfcc_output_56
97,-2.776524,-8.139582,mfcc_output_52
98,-2.7657526,-6.071779,mfcc_output_46
99,-0.9701857,-9.845372,mfcc_output_91
100,0.3566212,-9.343804,mfcc_output_85
101,-2.8179786,-5.233314,mfcc_output_84
102,3.2652428,-8.328562,mfcc_output_90
103,-3.7821877,-8.476214,mfcc_output_47
104,-3.449278,-9.580743,mfcc_output_53
105,1.0207479,-7.3361125,mfcc_output_45
106,-2.5675383,-5.4859414,mfcc_output_51
107,-0.46232572,-9.589054,mfcc_output_79
108,-3.781015,-8.404681,mfcc_output_86
109,-2.0751927,-8.263991,mfcc_output_92
110,-3.1150954,-5.8012495,mfcc_output_93
111,2.7941034,-7.403377,mfcc_output_87
112,-3.1050158,-7.4046693,mfcc_output_78
113,-5.9957275,-6.5158887,mfcc_output_50
114,1.5120962,-4.6445136,mfcc_output_44
