Song,Source_File,GMM Cluster Name
mfcc_output_49,Majority_Vote,Marathi Bhav Geet
mfcc_output_61,Majority_Vote,Indian National Anthem
mfcc_output_60,Majority_Vote,Asha Bhosale Songs
mfcc_output_48,Majority_Vote,Marathi Bhav Geet
mfcc_output_76,Majority_Vote,Marathi Bhav Geet
mfcc_output_62,Majority_Vote,Marathi Bhav Geet
mfcc_output_88,Majority_Vote,Marathi Bhav Geet
mfcc_output_63,Majority_Vote,Asha Bhosale Songs
mfcc_output_77,Majority_Vote,Marathi Bhav Geet
mfcc_output_73,Majority_Vote,Marathi Lavni
mfcc_output_66,Majority_Vote,Kishor Kumar Songs
mfcc_output_72,Majority_Vote,Marathi Bhav Geet
mfcc_output_59,Majority_Vote,Kishor Kumar Songs
mfcc_output_16,Majority_Vote,Indian National Anthem
mfcc_output_17,Majority_Vote,Indian National Anthem
mfcc_output_1,Majority_Vote,Indian National Anthem
mfcc_output_3,Majority_Vote,Michael Jackson Songs
mfcc_output_29,Majority_Vote,Kishor Kumar Songs
mfcc_output_15,Majority_Vote,Marathi Bhav Geet
mfcc_output_2,Majority_Vote,Indian National Anthem
mfcc_output_108,Majority_Vote,Indian National Anthem
mfcc_output_11,Majority_Vote,Marathi Bhav Geet
mfcc_output_103,Majority_Vote,Michael Jackson Songs
mfcc_output_9,Majority_Vote,Kishor Kumar Songs
mfcc_output_23,Majority_Vote,Asha Bhosale Songs
mfcc_output_8,Majority_Vote,Michael Jackson Songs
mfcc_output_102,Majority_Vote,Asha Bhosale Songs
mfcc_output_20,Majority_Vote,Michael Jackson Songs
mfcc_output_21,Majority_Vote,Marathi Bhav Geet
mfcc_output_35,Majority_Vote,Indian National Anthem
mfcc_output_111,Majority_Vote,Kishor Kumar Songs
mfcc_output_105,Majority_Vote,Asha Bhosale Songs
mfcc_output_31,Majority_Vote,Indian National Anthem
mfcc_output_18,Majority_Vote,Asha Bhosale Songs
mfcc_output_110,Majority_Vote,Asha Bhosale Songs
mfcc_output_26,Majority_Vote,Kishor Kumar Songs
mfcc_output_113,Majority_Vote,Marathi Bhav Geet
mfcc_output_68,Majority_Vote,Marathi Bhav Geet
mfcc_output_40,Majority_Vote,Asha Bhosale Songs
mfcc_output_54,Majority_Vote,Marathi Bhav Geet
mfcc_output_96,Majority_Vote,Kishor Kumar Songs
mfcc_output_80,Majority_Vote,Asha Bhosale Songs
mfcc_output_81,Majority_Vote,Indian National Anthem
mfcc_output_95,Majority_Vote,Indian National Anthem
mfcc_output_42,Majority_Vote,Marathi Bhav Geet
mfcc_output_52,Majority_Vote,Marathi Lavni
mfcc_output_91,Majority_Vote,Marathi Bhav Geet
mfcc_output_84,Majority_Vote,Asha Bhosale Songs
mfcc_output_90,Majority_Vote,Indian National Anthem
mfcc_output_51,Majority_Vote,Asha Bhosale Songs
mfcc_output_87,Majority_Vote,Indian National Anthem
mfcc_output_50,Majority_Vote,Kishor Kumar Songs
mfcc_output_44,Majority_Vote,Michael Jackson Songs
mfcc_output_75,Majority_Vote,Indian National Anthem
mfcc_output_58,Majority_Vote,Marathi Bhav Geet
mfcc_output_109,Majority_Vote,Marathi Lavni
mfcc_output_7,Majority_Vote,Marathi Lavni
mfcc_output_13,Majority_Vote,Marathi Bhav Geet
mfcc_output_37,Majority_Vote,Marathi Bhav Geet
mfcc_output_36,Majority_Vote,Marathi Bhav Geet
mfcc_output_22,Majority_Vote,Marathi Bhav Geet
mfcc_output_101,Majority_Vote,Marathi Lavni
mfcc_output_115,Majority_Vote,Marathi Lavni
mfcc_output_25,Majority_Vote,Marathi Lavni
mfcc_output_24,Majority_Vote,Marathi Lavni
mfcc_output_30,Majority_Vote,Marathi Lavni
mfcc_output_112,Majority_Vote,Marathi Bhav Geet
mfcc_output_32,Majority_Vote,Marathi Lavni
mfcc_output_27,Majority_Vote,Indian National Anthem
mfcc_output_82,Majority_Vote,Kishor Kumar Songs
mfcc_output_41,Majority_Vote,Marathi Bhav Geet
mfcc_output_94,Majority_Vote,Marathi Lavni
mfcc_output_56,Majority_Vote,Marathi Bhav Geet
mfcc_output_98,Majority_Vote,Michael Jackson Songs
mfcc_output_64,Majority_Vote,Marathi Bhav Geet
mfcc_output_65,Majority_Vote,Marathi Lavni
mfcc_output_28,Majority_Vote,Kishor Kumar Songs
mfcc_output_5,Majority_Vote,Kishor Kumar Songs
mfcc_output_4,Majority_Vote,Asha Bhosale Songs
mfcc_output_100,Majority_Vote,Kishor Kumar Songs
mfcc_output_34,Majority_Vote,Indian National Anthem
mfcc_output_19,Majority_Vote,Asha Bhosale Songs
mfcc_output_104,Majority_Vote,Indian National Anthem
mfcc_output_106,Majority_Vote,Indian National Anthem
mfcc_output_107,Majority_Vote,Indian National Anthem
mfcc_output_83,Majority_Vote,Kishor Kumar Songs
mfcc_output_97,Majority_Vote,Kishor Kumar Songs
mfcc_output_55,Majority_Vote,Indian National Anthem
mfcc_output_69,Majority_Vote,Michael Jackson Songs
mfcc_output_43,Majority_Vote,Marathi Bhav Geet
mfcc_output_53,Majority_Vote,Michael Jackson Songs
mfcc_output_86,Majority_Vote,Michael Jackson Songs
