,Unnamed: 0,Dimension 1,Dimension 2,KMeans Cluster,Song
0,0,-5.5373425,-2.0704195,3,mfcc_mean_output_56
1,1,0.48852593,0.9083233,3,mfcc_mean_output_42
2,2,7.455122,-6.339836,3,mfcc_mean_output7
3,3,-6.675591,5.772648,3,mfcc_mean_output_95
4,4,-8.654937,5.0694304,3,mfcc_mean_output_81
5,5,11.566197,-4.113662,3,mfcc_mean_output_80
6,6,3.385455,-1.2080122,3,mfcc_mean_output_94
7,7,-6.8885126,4.1344557,3,mfcc_mean_output6
8,8,-4.098335,-1.0656316,3,mfcc_mean_output_43
9,9,-5.1858377,2.539394,3,mfcc_mean_output_57
10,10,-7.217356,1.8444589,3,mfcc_mean_output_41
11,11,-1.2391452,2.0087745,3,mfcc_mean_output_55
12,12,-9.42062,7.716937,3,mfcc_mean_output_69
13,13,0.58249825,-5.516656,3,mfcc_mean_output4
14,14,11.393229,-6.80249,3,mfcc_mean_output_82
15,15,13.267923,-9.482559,3,mfcc_mean_output_96
16,16,13.616572,-8.500273,3,mfcc_mean_output_97
17,17,11.066713,-9.964205,3,mfcc_mean_output_83
18,18,-2.230776,-0.37830546,3,mfcc_mean_output_68
19,19,11.332012,-7.9512224,3,mfcc_mean_output5
20,20,-4.1818204,0.3958517,3,mfcc_mean_output_54
21,21,7.426784,-4.528559,3,mfcc_mean_output_40
22,22,-6.5133443,2.323667,0,mfcc_mean_output_78
23,23,1.7888058,2.7260025,0,mfcc_mean_output1
24,24,-5.318514,5.445846,0,mfcc_mean_output_44
25,25,13.628553,-10.343161,0,mfcc_mean_output_50
26,26,-1.6314874,4.003898,0,mfcc_mean_output_87
27,27,8.609265,-7.248319,0,mfcc_mean_output_93
28,28,-4.5148807,-3.2702794,0,mfcc_mean_output_92
29,29,-10.6130905,7.1561356,0,mfcc_mean_output_86
30,30,9.788643,-4.2546864,0,mfcc_mean_output_51
31,31,-7.8672357,6.0702543,0,mfcc_mean_output_45
32,32,-0.6575364,-3.7434638,0,mfcc_mean_output_79
33,33,1.8369395,4.2228293,0,mfcc_mean_output2
34,34,-10.039612,7.6327987,0,mfcc_mean_output_53
35,35,-11.743501,4.2312202,0,mfcc_mean_output_47
36,36,0.8062602,4.274861,0,mfcc_mean_output_90
37,37,10.826111,-6.0301466,0,mfcc_mean_output_84
38,38,-7.2894025,-0.96417177,0,mfcc_mean_output_85
39,39,-5.866203,-0.15593934,0,mfcc_mean_output_91
40,40,9.580748,-6.87619,0,mfcc_mean_output_46
41,41,3.475778,-4.473865,0,mfcc_mean_output_52
42,42,-9.984059,5.106305,2,mfcc_mean_output3
43,43,-0.33097428,3.8813713,2,mfcc_mean_output_35
44,44,8.645943,-3.29214,0,mfcc_mean_output_110
45,45,-7.190055,5.202028,2,mfcc_mean_output_104
46,46,-8.308784,-2.3326607,2,mfcc_mean_output_21
47,47,9.778267,-11.428884,5,mfcc_mean_output_105
48,48,-4.7946076,6.383186,2,mfcc_mean_output_20
49,49,4.185819,2.0092864,2,mfcc_mean_output_34
50,50,12.798883,-10.734739,5,mfcc_mean_output_111
51,51,-3.0189767,-0.06670836,2,mfcc_mean_output_22
52,52,3.2575119,3.6633456,2,mfcc_mean_output_107
