,Dimension 1,Dimension 2,GMM Cluster,GMM Cluster Name,Song
0,-1.3822749,-9.074017,0,Marathi Bhav Geet,mfcc_output_49
1,3.949358,-8.053405,3,Indian National Anthem,mfcc_output_61
2,3.1027355,-7.839383,3,Indian National Anthem,mfcc_output_75
3,1.278551,-5.07025,4,Michael Jackson Songs,mfcc_output_74
4,-4.214887,-6.8222475,5,Asha Bhosale Songs,mfcc_output_60
5,0.6678593,-9.667212,0,Marathi Bhav Geet,mfcc_output_48
6,-0.40861195,-8.657943,0,Marathi Bhav Geet,mfcc_output_76
7,-0.37726405,-8.1949835,0,Marathi Bhav Geet,mfcc_output_62
8,-1.966141,-8.675928,1,Marathi Lavni,mfcc_output_89
9,0.6158266,-7.3767266,0,Marathi Bhav Geet,mfcc_output_88
10,-3.1839585,-4.9927006,5,Asha Bhosale Songs,mfcc_output_63
11,-1.8731148,-9.944406,0,Marathi Bhav Geet,mfcc_output_77
12,-1.7010504,-8.049476,1,Marathi Lavni,mfcc_output_73
13,-3.32674,-6.5790353,5,Asha Bhosale Songs,mfcc_output_67
14,1.794964,-8.091467,0,Marathi Bhav Geet,mfcc_output_98
15,-0.7365498,-10.476519,0,Marathi Bhav Geet,mfcc_output_99
16,-4.2544765,-5.32187,2,Kishor Kumar Songs,mfcc_output_66
17,1.7898812,-9.84664,0,Marathi Bhav Geet,mfcc_output_72
18,-0.9157426,-7.8118205,1,Marathi Lavni,mfcc_output_64
19,-2.3786724,-7.80842,1,Marathi Lavni,mfcc_output_70
20,-0.8159737,-8.539238,0,Marathi Bhav Geet,mfcc_output_58
21,-5.958125,-6.482172,2,Kishor Kumar Songs,mfcc_output_59
22,-2.3296516,-6.5622387,1,Marathi Lavni,mfcc_output_71
23,-0.99902517,-8.717481,0,Marathi Bhav Geet,mfcc_output_65
24,3.2737134,-8.872848,3,Indian National Anthem,mfcc_output_16
25,3.1280644,-9.162103,3,Indian National Anthem,mfcc_output_17
26,3.318899,-7.0654497,3,Indian National Anthem,mfcc_output_1
27,-0.20303415,-7.6258154,1,Marathi Lavni,mfcc_output_109
28,1.5886785,-4.580872,4,Michael Jackson Songs,mfcc_output_3
29,-3.4584725,-4.3567863,2,Kishor Kumar Songs,mfcc_output_29
30,-0.5513095,-8.428559,0,Marathi Bhav Geet,mfcc_output_15
31,2.3573604,-4.9020977,4,Michael Jackson Songs,mfcc_output_14
32,-3.3788493,-7.1104684,5,Asha Bhosale Songs,mfcc_output_28
33,3.1896772,-8.892199,3,Indian National Anthem,mfcc_output_2
34,3.3875272,-7.6369367,3,Indian National Anthem,mfcc_output_108
35,1.594135,-8.104605,0,Marathi Bhav Geet,mfcc_output_6
36,-4.8270144,-8.733559,1,Marathi Lavni,mfcc_output_10
37,-2.7017715,-3.7781105,2,Kishor Kumar Songs,mfcc_output_38
38,-0.6289874,-10.192037,0,Marathi Bhav Geet,mfcc_output_39
39,-1.6385053,-9.5167055,0,Marathi Bhav Geet,mfcc_output_11
40,-1.6430037,-6.894371,1,Marathi Lavni,mfcc_output_7
41,-2.9512339,-4.8453937,5,Asha Bhosale Songs,mfcc_output_5
42,-1.8453852,-9.652025,0,Marathi Bhav Geet,mfcc_output_13
43,1.0893574,-4.56088,4,Michael Jackson Songs,mfcc_output_12
44,-2.085908,-8.397563,1,Marathi Lavni,mfcc_output_4
