,Dimension 1,Dimension 2,Song
0,-5.5373425,-2.0704195,mfcc_mean_output_56
1,0.48852593,0.9083233,mfcc_mean_output_42
2,7.455122,-6.339836,mfcc_mean_output7
3,-6.675591,5.772648,mfcc_mean_output_95
4,-8.654937,5.0694304,mfcc_mean_output_81
5,11.566197,-4.113662,mfcc_mean_output_80
6,3.385455,-1.2080122,mfcc_mean_output_94
7,-6.8885126,4.1344557,mfcc_mean_output6
8,-4.098335,-1.0656316,mfcc_mean_output_43
9,-5.1858377,2.539394,mfcc_mean_output_57
10,-7.217356,1.8444589,mfcc_mean_output_41
11,-1.2391452,2.0087745,mfcc_mean_output_55
12,-9.42062,7.716937,mfcc_mean_output_69
13,0.58249825,-5.516656,mfcc_mean_output4
14,11.393229,-6.80249,mfcc_mean_output_82
15,13.267923,-9.482559,mfcc_mean_output_96
16,13.616572,-8.500273,mfcc_mean_output_97
17,11.066713,-9.964205,mfcc_mean_output_83
18,-2.230776,-0.37830546,mfcc_mean_output_68
19,11.332012,-7.9512224,mfcc_mean_output5
20,-4.1818204,0.3958517,mfcc_mean_output_54
21,7.426784,-4.528559,mfcc_mean_output_40
22,-6.5133443,2.323667,mfcc_mean_output_78
23,1.7888058,2.7260025,mfcc_mean_output1
24,-5.318514,5.445846,mfcc_mean_output_44
25,13.628553,-10.343161,mfcc_mean_output_50
26,-1.6314874,4.003898,mfcc_mean_output_87
27,8.609265,-7.248319,mfcc_mean_output_93
28,-4.5148807,-3.2702794,mfcc_mean_output_92
29,-10.6130905,7.1561356,mfcc_mean_output_86
30,9.788643,-4.2546864,mfcc_mean_output_51
31,-7.8672357,6.0702543,mfcc_mean_output_45
32,-0.6575364,-3.7434638,mfcc_mean_output_79
33,1.8369395,4.2228293,mfcc_mean_output2
34,-10.039612,7.6327987,mfcc_mean_output_53
35,-11.743501,4.2312202,mfcc_mean_output_47
36,0.8062602,4.274861,mfcc_mean_output_90
37,10.826111,-6.0301466,mfcc_mean_output_84
38,-7.2894025,-0.96417177,mfcc_mean_output_85
39,-5.866203,-0.15593934,mfcc_mean_output_91
40,9.580748,-6.87619,mfcc_mean_output_46
41,3.475778,-4.473865,mfcc_mean_output_52
42,-9.984059,5.106305,mfcc_mean_output3
43,-0.33097428,3.8813713,mfcc_mean_output_35
44,8.645943,-3.29214,mfcc_mean_output_110
45,-7.190055,5.202028,mfcc_mean_output_104
46,-8.308784,-2.3326607,mfcc_mean_output_21
47,9.778267,-11.428884,mfcc_mean_output_105
48,-4.7946076,6.383186,mfcc_mean_output_20
49,4.185819,2.0092864,mfcc_mean_output_34
50,12.798883,-10.734739,mfcc_mean_output_111
51,-3.0189767,-0.06670836,mfcc_mean_output_22
52,3.2575119,3.6633456,mfcc_mean_output_107
53,-9.363235,2.483894,mfcc_mean_output_113
54,-5.188141,8.802879,mfcc_mean_output_36
55,-8.990342,1.4768027,mfcc_mean_output_112
56,-10.118047,0.75314033,mfcc_mean_output_37
57,12.023456,-5.576439,mfcc_mean_output_23
58,0.44599643,1.7339597,mfcc_mean_output_106
59,7.988454,-7.999646,mfcc_mean_output_102
60,5.7858276,0.75809264,mfcc_mean_output_27
61,0.6838683,-3.6973462,mfcc_mean_output_33
62,-2.7203946,2.5801573,mfcc_mean_output_32
63,-4.6830177,5.860097,mfcc_mean_output_103
64,13.510535,-11.475586,mfcc_mean_output_26
65,12.546229,-7.376256,mfcc_mean_output_18
66,3.115503,0.28495377,mfcc_mean_output_115
67,1.5686842,-1.2229124,mfcc_mean_output_30
68,1.777663,1.4748359,mfcc_mean_output_24
69,7.5771565,-5.330277,mfcc_mean_output_101
70,3.1336348,-2.6738987,mfcc_mean_output_25
71,11.948275,-9.496432,mfcc_mean_output_100
72,-7.023347,6.9608064,mfcc_mean_output_114
73,3.8769073,3.0295365,mfcc_mean_output_31
74,4.04146,-3.533203,mfcc_mean_output_19
75,-9.440588,0.72746176,mfcc_mean_output_14
76,12.6020355,-9.612508,mfcc_mean_output_28
77,11.914492,-10.842028,mfcc_mean_output_29
78,-6.9848976,3.3443034,mfcc_mean_output_15
79,1.9714955,3.6517444,mfcc_mean_output_17
80,5.0954585,0.827334,mfcc_mean_output_16
81,-0.13157605,-1.2260927,mfcc_mean_output_12
82,-7.7350097,0.67151517,mfcc_mean_output_13
83,-3.779105,6.020962,mfcc_mean_output_108
84,-8.098763,-1.2122905,mfcc_mean_output_39
85,-8.359337,0.18999936,mfcc_mean_output_11
86,-12.901763,4.115806,mfcc_mean_output_10
87,11.52935,-11.695445,mfcc_mean_output_38
88,1.4066594,-2.2272952,mfcc_mean_output_109
89,-5.267727,-1.0169957,mfcc_mean_output_77
90,10.987795,-8.687332,mfcc_mean_output_63
91,-2.3797028,1.7456988,mfcc_mean_output_88
92,-10.171586,4.0269756,mfcc_mean_output_89
93,-0.7706027,0.27366778,mfcc_mean_output_62
94,-4.737628,-2.207398,mfcc_mean_output_76
95,-5.7058463,9.968682,mfcc_mean_output_60
96,1.4046476,-4.9328265,mfcc_mean_output_74
97,-1.9847093,0.3496596,mfcc_mean_output_48
98,-7.130951,-1.8745079,mfcc_mean_output_49
99,5.32382,1.782022,mfcc_mean_output_75
100,-0.15928726,5.759566,mfcc_mean_output_61
101,9.248884,-3.1798027,mfcc_mean_output_59
102,0.8130078,-2.5162752,mfcc_mean_output_65
103,-9.599918,6.184572,mfcc_mean_output8
104,10.920365,-3.9787765,mfcc_mean_output_71
105,2.4443166,-3.5607977,mfcc_mean_output_70
106,1.4637315,-3.098954,mfcc_mean_output_64
107,12.088669,-8.100611,mfcc_mean_output9
108,-5.231522,1.6779009,mfcc_mean_output_58
109,-6.71218,0.28413966,mfcc_mean_output_72
110,12.64351,-8.713977,mfcc_mean_output_66
111,-8.799099,-0.84396803,mfcc_mean_output_99
112,-9.450928,8.7504,mfcc_mean_output_98
113,10.795446,-11.514149,mfcc_mean_output_67
114,2.5328631,-4.3532724,mfcc_mean_output_73
